Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_2,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
WSS100,0.9927299280168518,0.8290909090909089,0.711111111111111,0.9977244705619028,1.0,0.9,0.8833333333333334,0.82,1.0,1.0,20
ContextCite100,0.983901354378407,0.7890909090909091,0.6599999999999999,0.9902458807448375,1.0,0.9,0.8666666666666666,0.77,1.0,1.0,20
KernelShap100,0.9919958962992685,0.7769696969696969,0.6666666666666666,0.9973710579359295,1.0,0.975,0.9166666666666666,0.75,1.0,1.0,20
WSS64,0.9863910742387686,0.7648484848484848,0.6488888888888888,0.9932047558277004,0.95,0.975,0.8666666666666666,0.8,1.0,1.0,20
ContextCite32,0.9595522646835157,0.7563636363636362,0.631111111111111,0.993149304115595,0.95,0.9,0.8666666666666666,0.75,1.0,1.0,20
KernelShap64,0.9811096345932778,0.7315714221125449,0.6057062194714871,0.9876419302335527,0.85,0.875,0.8833333333333334,0.73,1.0,1.0,20
ContextCite64,0.9840861779356267,0.7296969696969696,0.6177777777777778,0.9965986238929277,1.0,0.875,0.9,0.7300000000000001,1.0,1.0,20
TMC100,0.9543543201977718,0.7,0.5622222222222222,0.9743830275018046,0.7,0.825,0.7666666666666666,0.71,1.0,1.0,20
TMC64,0.9200214633849717,0.6957575757575757,0.5644444444444444,0.9689037569376403,0.65,0.825,0.7666666666666666,0.6900000000000001,1.0,1.0,20
KernelShap32,0.9422632725379663,0.6387878787878787,0.5355555555555556,0.9684960555104103,1.0,0.85,0.7333333333333333,0.6799999999999999,1.0,1.0,20
TMC32,0.9420813838851949,0.6375757575757575,0.5044444444444445,0.9681787410558433,0.9,0.85,0.7,0.71,1.0,1.0,20
BetaShap (U)64,0.89690506013997,0.5987878787878788,0.49555555555555547,0.9726138430719959,1.0,0.85,0.7166666666666666,0.63,1.0,1.0,20
BetaShap (U)32,0.9160244619847122,0.5606060606060606,0.43555555555555553,0.9670802575308916,1.0,0.825,0.6833333333333333,0.65,1.0,1.0,20
BetaShap (U)100,0.7250057380576093,0.5375757575757575,0.4155555555555555,0.8696144226772221,0.5,0.7,0.7166666666666667,0.7,1.0,1.0,20
WSS32,0.7271799269483595,0.4587878787878787,0.3422222222222222,0.8093196547063695,0.7,0.65,0.5666666666666667,0.64,1.0,1.0,20
LOO,0.8398897655566483,0.3678787878787878,0.2733333333333333,0.8591097412228393,0.9,0.65,0.5333333333333333,0.64,1.0,1.0,20
