Question_Index,Query,Method,Pearson,Spearman
0,What is the implication of histone lysine methylation in medulloblastoma?,ContextCite,0.966717259548671,0.9272727272727272
0,What is the implication of histone lysine methylation in medulloblastoma?,WSS32,0.9666230098687142,0.8909090909090909
0,What is the implication of histone lysine methylation in medulloblastoma?,WSS64,0.9652959543226505,0.9393939393939393
0,What is the implication of histone lysine methylation in medulloblastoma?,WSS100,0.9668320745505317,0.8181818181818182
0,What is the implication of histone lysine methylation in medulloblastoma?,TMC,0.9831435226607698,0.9030303030303028
0,What is the implication of histone lysine methylation in medulloblastoma?,BetaShap (U),0.7874888871569703,0.3696969696969697
0,What is the implication of histone lysine methylation in medulloblastoma?,LOO,0.9592232647855777,0.8909090909090909
1,What is the role of STAG1/STAG2 proteins in differentiation?,ContextCite,0.9976615916694641,0.8545454545454544
1,What is the role of STAG1/STAG2 proteins in differentiation?,WSS32,0.9957601423225162,0.8181818181818182
1,What is the role of STAG1/STAG2 proteins in differentiation?,WSS64,0.9975424714276764,0.8545454545454544
1,What is the role of STAG1/STAG2 proteins in differentiation?,WSS100,0.9993278923052323,0.9272727272727272
1,What is the role of STAG1/STAG2 proteins in differentiation?,TMC,0.9998621198017289,0.9878787878787878
1,What is the role of STAG1/STAG2 proteins in differentiation?,BetaShap (U),0.9957781682242518,0.6606060606060605
1,What is the role of STAG1/STAG2 proteins in differentiation?,LOO,0.9980842876681352,0.8909090909090909
